,month,day,count
0,11,01,220
1,11,02,653
2,11,03,290
3,11,04,967
4,11,05,2086
5,11,06,912
6,11,07,59
7,11,08,316
8,11,09,26
9,11,10,627
10,11,11,241
11,11,12,588
12,11,13,904
13,11,14,283
14,11,15,228
15,11,16,3
16,11,17,2218
17,11,18,1364
18,11,19,1279
19,11,20,3097
20,11,21,186
21,11,22,1455
22,11,23,507
23,11,24,1811
24,11,25,1009
25,11,26,266
26,11,27,505
27,11,29,178
28,11,30,540
29,12,01,494
30,12,02,925
31,12,03,695
32,12,04,3124
33,12,05,180
34,12,06,2
35,12,07,404
36,12,08,1417
37,12,09,1213
38,12,10,949
39,12,11,348
40,12,13,81
41,12,14,629
42,12,15,2392
43,12,16,1428
44,12,17,1520
45,12,18,407
46,12,19,244
47,12,21,552
48,12,22,89
49,12,23,398
50,12,24,100
51,12,28,434
52,12,29,550
53,12,30,1077
54,12,31,870
